"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3651","RT @GeoffShannon: #Breaking #News #RoyalCommission #Commbank #CBA #Bankwest #MattComyn Bankwest customers run for the exits. The word is 1,…",FALSE,0,NA,2019-01-30 11:28:43,FALSE,NA,"1090572510532231168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BanksGoneBadAus",13,TRUE,FALSE,NA,NA
"3652","#Breaking #News #RoyalCommission #Commbank #CBA #Bankwest #MattComyn Bankwest customers run for the exits. The word… https://t.co/fOOX4IU0uB",FALSE,15,NA,2019-01-30 11:27:49,TRUE,NA,"1090572284048244740",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GeoffShannon",13,FALSE,FALSE,NA,NA
"3653","RT @peacewithme2: @alexbhturnbull @PeterDutton_MP So...your saying after due diligence, forensic accounting, mandatory disclosures, regulat…",FALSE,0,NA,2019-01-30 11:09:24,FALSE,NA,"1090567650055380993",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mangotree_books",11,TRUE,FALSE,NA,NA
"3654","RT @peacewithme2: @alexbhturnbull @PeterDutton_MP So...your saying after due diligence, forensic accounting, mandatory disclosures, regulat…",FALSE,0,NA,2019-01-30 10:48:06,FALSE,NA,"1090562292524081152",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Calliope1925",11,TRUE,FALSE,NA,NA
"3655","Attending our bi-annual forum is one strategy for Queensland citizens to declare their concern not only about their… https://t.co/pcoz2uNM36",FALSE,9,NA,2019-01-30 10:08:44,TRUE,NA,"1090552382813949952",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","qlgralliance",9,FALSE,FALSE,NA,NA
"3656","RT @ingioz: Absolutely @IndigoDaya @MartinFoleyMP #Livedexp #mentalhealth #consumers #carers as #cochairs should be a natural given inclusi…",FALSE,0,NA,2019-01-30 08:39:56,FALSE,NA,"1090530037239996416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FewingsBj",4,TRUE,FALSE,NA,NA
"3657","RT @peacewithme2: @alexbhturnbull @PeterDutton_MP So...your saying after due diligence, forensic accounting, mandatory disclosures, regulat…",FALSE,0,NA,2019-01-30 08:29:07,FALSE,NA,"1090527313572188165",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ausgrrl",11,TRUE,FALSE,NA,NA
"3658","ASIC takes strong stance to “litigate first” following the Financial Services Royal Commission. Read the latest art… https://t.co/J51UwacWRk",FALSE,0,NA,2019-01-30 07:00:20,TRUE,NA,"1090504969860599809",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","pop_coms",0,FALSE,FALSE,NA,NA
"3659","RT @RussellKennedy_: #AgedCare Alert: Royal Commission into Aged Care Quality and Safety – Next steps following Provider Survey, 30 Jan 201…",FALSE,0,NA,2019-01-30 06:16:32,FALSE,NA,"1090493948735287296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GortonM",4,TRUE,FALSE,NA,NA
"3660","RT @ingioz: Absolutely @IndigoDaya @MartinFoleyMP #Livedexp #mentalhealth #consumers #carers as #cochairs should be a natural given inclusi…",FALSE,0,NA,2019-01-30 06:04:39,FALSE,NA,"1090490957194121218",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dpeters1977",4,TRUE,FALSE,NA,NA
